"Object Label","Object Name","Field Label","Field Name","Namespace","Custom","Type","Calculated","Number of Rows","Number of Rows Populated","Percentage of Rows Populated"
"Account","Account","Solutions Owned","Solutions_Owned__c","",True,"multipicklist",False,1021033,609,0.05964547668880438
"Account","Account","Cancelled Date","Cancelled_Date__c","",True,"date",False,1021033,51,0.004994941397584603
"Account","Account","Amity Sync","Amity_Sync__c","",True,"boolean",True,1021033,1021033,100.0
"Account","Account","CS Account NPS","CS_Account_NPS__c","",True,"double",False,1021033,346,0.03388724948165241
"Account","Account","Churn Value","Churn_Value__c","",True,"currency",False,1021033,1081,0.10587316962331286
"Account","Account","Customer Success Health","Customer_Success_Health__c","",True,"picklist",False,1021033,277,0.027129387590802648
"Account","Account","LastModifiedByFullName","LastModifiedByFullName__c","",True,"string",True,1021033,1021033,100.0
"Account","Account","OpportunityWonCount","OpportunityWonCount__c","",True,"double",True,1021033,1021033,100.0
"Account","Account","Previous Budgeting System","Previous_Budgeting_System_Value__c","",True,"string",False,1021033,550,0.05386701507199082
"Account","Account","Previous Budgeting System","Previous_Budgeting_System__c","",True,"string",True,1021033,550,0.05386701507199082
"Account","Account","Integration Change Identifier","Integration_Change_Identifier__c","",True,"string",False,1021033,3,0.00029382008221085897
"Account","Account","Meeting Cadence - Grants","Meeting_Cadence__c","",True,"picklist",False,1021033,0,0.0
"Account","Account","Tradeshow","Tradeshow__c","",True,"picklist",False,1021033,194,0.019000365316302215
"Account","Account","PowerAlmanacID","PowerAlmanacID__c","",True,"string",False,1021033,11748,1.150599441937724
"Account","Account","PlaceName","PlaceName__c","",True,"string",False,1021033,13390,1.3114169669344673
"Account","Account","PlaceType","PlaceType__c","",True,"string",False,1021033,15683,1.5359934497709673
"Account","Account","PlaceIdentifier","PlaceIdentifier__c","",True,"string",False,1021033,13390,1.3114169669344673
"Account","Account","Number of Licenses - Grants","Number_of_Licenses_Grants__c","",True,"double",False,1021033,265,0.025954107261959212
"Account","Account","Unresponsive - Grants","Unresponsive_Grants__c","",True,"boolean",False,1021033,1021033,100.0
"Account","Account","Account Record Type","Account_Record_Type__c","",True,"string",True,1021033,1021029,99.99960823989038
"Account","Account","ARR - Grants","ARR_Grants__c","",True,"currency",False,1021033,325,0.03183050890617639
"Account","Account","POS Solution","POS_Solution_CB__c","",True,"string",False,1021033,116,0.011361043178819882
"Account","Account","Grants - Amplifund Relationship","Grants_Amplifund_Relationship__c","",True,"picklist",False,1021033,18,0.001762920493265154
"Account","Account","Kiosk Solution","Kiosk_Solution_CB__c","",True,"string",False,1021033,196,0.019196245371109456
"Account","Account","x-Amplifund Relationship","Amplifund_Relationship__c","",True,"picklist",False,1021033,4,0.0003917601096144787
"Account","Account","Partner Onboarding Stage","Partner_Onboarding_Stage__c","",True,"picklist",False,1021033,0,0.0
"Account","Account","CityBase AE","CB_CityBase_AE__c","",True,"reference",False,1021033,9005,0.8819499467695952
"Account","Account","Update Trigger","Update_Trigger__c","",True,"boolean",False,1021033,1021033,100.0
"Account","Account","Unlimited License Subscription - Bonfire","Unlimited_License_Subscription_Bonfire__c","",True,"picklist",False,1021033,73635,7.211813917865534
"Account","Account","Average NPS Score","CB_Average_NPS_Score__c","",True,"double",False,1021033,59814,5.858184799120107
"Account","Account","Partner Type","Partner_Type__c","",True,"picklist",False,1021033,0,0.0
"Account","Account","Partner Implemented","Partner_Implemented__c","",True,"picklist",False,1021033,1005221,98.45137228669397
"Account","Account","Government Grants","Government_Grants__c","",True,"currency",False,1021033,5697,0.5579643361184212
"Account","Account","Account Start","Account_Start__c","",True,"date",False,1021033,63,0.006170221726428039
"Account","Account","OpenCounter Products","OpenCounter_Products__c","",True,"multipicklist",False,1021033,73,0.007149622000464236
"Account","Account","Onboarding Stage Notes","Onboarding_Stage_Notes__c","",True,"textarea",False,1021033,0,0.0
"Account","Account","Partner Program Sub-Type","Partner_Program_Sub_Type__c","",True,"picklist",False,1021033,0,0.0
"Account","Account","Customer Summary","Customer_Summary__c","",True,"textarea",False,1021033,53,0.005190821452391843
"Account","Account","Initial ARR","Initial_ARR__c","",True,"currency",False,1021033,1066,0.10440406921225856
"Account","Account","Risk Reason SpedTrack","Risk_Reason_SpedTrack__c","",True,"multipicklist",False,1021033,4,0.0003917601096144787
"Account","Account","Risk Description SpedTrack","Risk_Description_SpedTrack__c","",True,"textarea",False,1021033,4,0.0003917601096144787
"Account","Account","Client Wiki Page Link","CB_Client_Wiki_Page_Link__c","",True,"url",False,1021033,10,0.0009794002740361966
"Account","Account","Contract Link","CB_Contract_Link__c","",True,"url",False,1021033,52,0.005092881424988222
"Account","Account","Mitigation Plan SpedTrack","Mitigation_Plan_SpedTrack__c","",True,"textarea",False,1021033,2,0.00019588005480723934
"Account","Account","# Open Renewal Opps","Open_Renewal_Opps__c","",True,"double",True,1021033,1021033,100.0
"Account","Account","ARR- Payments","ARR_Payments__c","",True,"currency",False,1021033,24,0.0023505606576868718
"Account","Account","Permitting System of Record","Permitting_System_of_Record__c","",True,"picklist",False,1021033,61,0.0059743416716208
"Account","Account","POS Contract Exp Date","CB_POS_Contract_Exp_Date__c","",True,"date",False,1021033,30,0.0029382008221085897
"Account","Account","ARR - SpedTrack","ARR_SpedTrack__c","",True,"currency",False,1021033,686,0.0671868587988831
"Account","Account","Purchased Product Segments - SpedTrack","Purchased_Product_Segments_SpedTrack__c","",True,"multipicklist",False,1021033,2,0.00019588005480723934
"Account","Account","Transaction ARR","Transaction_ARR__c","",True,"currency",False,1021033,21,0.0020567405754760132
